TOK_NONE	400 none
TOK_CLASS	258 class
TOK_INHERITS	259 inherits
TOK_INSTANCE_OF	260 instance_of
TOK_DISCARD	261 discard
TOK_IDENTIFICADOR	305 itsef
TOK_HIDEN	264 hidden
TOK_SECRET	265 secret
TOK_EXPOSED	266 exposed
TOK_UNIQUE	267 unique
TOK_FUNCTION	272 function
TOK_RETURN	273 return
TOK_MAIN	274 main
TOK_INT	275 int
TOK_BOOLEAN	276 boolean
TOK_ARRAY	278 array
TOK_IF	280 if
TOK_ELSE	281 else
TOK_WHILE	282 while
TOK_SCANF	283 scanf
TOK_PRINTF	284 printf
TOK_FALSE	295 false
TOK_TRUE	296 true
SIMBOLO_SIMPLE	59 ;
SIMBOLO_SIMPLE	44 ,
SIMBOLO_SIMPLE	61 =
SIMBOLO_SIMPLE	40 (
SIMBOLO_SIMPLE	41 )
SIMBOLO_SIMPLE	91 [
SIMBOLO_SIMPLE	93 ]
SIMBOLO_SIMPLE	123 {
SIMBOLO_SIMPLE	125 }
SIMBOLO_SIMPLE	43 +
SIMBOLO_SIMPLE	45 -
SIMBOLO_SIMPLE	47 /
SIMBOLO_SIMPLE	42 *
SIMBOLO_SIMPLE	60 <
SIMBOLO_SIMPLE	62 >
SIMBOLO_SIMPLE	38 &
SIMBOLO_SIMPLE	33 !
SIMBOLO_SIMPLE	46 .
TOK_IGUAL	297 ==
TOK_DISTINTO	298 !=
TOK_MENORIGUAL	299 <=
TOK_MAYORIGUAL	300 >=
TOK_AND	302 &&
TOK_OR	301 ||
TOK_FLECHA	263 ->
TOK_IDENTIFICADOR	305 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
TOK_IDENTIFICADOR	305 aaaaa
TOK_CONSTANTE_ENTERA	303 222222222222222222222222222222222222
TOK_ERR	-1	@	Linea: 57 - Columna: 1
TOK_ERR	-1	?	Linea: 58 - Columna: 1
TOK_ERR	-1	ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	Linea: 59 - Columna: 1
